MIN_AVERAGE_INCOME,average_income,mad_risk
-200,-200,0
-100,-96.2865,4.74753
0,0.117307,9.04122
100,101.229,13.5428
200,200.105,18.0409
300,300.045,22.4229
400,400.222,26.9699
500,500.163,31.3988
600,600.104,35.8962
700,700.281,40.4133
800,800.091,44.8458
900,900.398,49.3432
1000,1000.21,53.8085
1100,1100.52,58.2893
1200,1200.33,62.7976
1300,1300.5,67.2518
1400,1400.44,71.7498
1500,1500.62,76.2165
1600,1600.56,80.6954
1700,1700.74,85.1949
1800,1800.55,89.6583
1900,1900.49,94.1564
2000,2000.66,98.611
2100,2100.61,103.102
2200,2200.78,107.588
2300,2300.72,112.059
2400,2400.66,116.56
2500,2500.71,121.011
2600,2600.65,125.509
2700,2700.83,129.984
2800,2800.77,134.455
2900,2900.71,138.958
3000,3000.76,143.425
3100,3100.13,147.915
3200,3200.07,152.394
3300,3300.81,156.873
3400,3400.19,161.357
3500,3500.13,165.843
3600,3600.17,170.308
3700,3700.11,174.791
3800,3800.05,179.271
3900,3900.1,183.739
4000,4000.04,188.21
4100,4100.22,192.715
4200,4200.03,197.158
4300,4300.1,201.658
4400,4400.15,206.135
4500,4500.09,210.606
4600,4600.03,215.077
4700,4700.07,219.559
4800,4800.01,224.037
4900,4900.09,228.538
5000,5000.13,233.011
5100,5100.07,237.485
5200,5200.12,241.971
5300,5300.06,246.46
5400,5400.13,250.938
5500,5500.18,255.423
5600,5600.12,259.908
5700,5700.16,264.387
5800,5800.24,268.875
5900,5900.18,273.356
6000,6000.22,277.836
6100,6100.53,282.324
6200,6200.58,286.793
6300,6300.52,291.287
6400,6400.56,295.756
6500,6500.53,300.266
6600,6600.11,304.831
6700,6700.31,309.425
6800,6800.17,314.092
6900,6900.65,318.788
7000,7000.44,323.595
7100,7100.49,328.387
7200,7200.01,333.571
7300,7300.32,338.804
7400,7400.28,343.932
7500,7500.25,349.26
7600,7600.61,354.65
7700,7700.2,360.152
7800,7800.15,365.95
7900,7900.53,372.15
8000,8000.42,378.497
8100,8100.29,384.991
8200,8200.18,391.562
8300,8300.07,398.171
8400,8400.03,404.904
8500,8500.78,411.635
8600,8600.38,418.66
8700,8700.32,425.913
8800,8800.33,433.452
8900,8900.22,440.866
9000,9000.24,448.308
9100,9100.25,455.902
9200,9200.14,463.376
9300,9300.16,470.805
9400,9400.12,478.421
9500,9500.5,485.897
9600,9600.03,493.524
9700,9700.7,501.265
9800,9800.21,509.187
9900,9900.03,517.056
10000,10000.3,525.373
10100,10100.6,533.949
10200,10200.8,542.919
10300,10301,552.067
10400,10400.1,561.127
10500,10500.3,570.275
10600,10600.1,579.304
10700,10700.4,588.857
10800,10800.6,598.46
10900,10900.4,608.032
11000,11000.7,617.555
11100,11100.9,627.078
11200,11201.2,636.618
11300,11301,646.293
11400,11400,655.847
11500,11500.3,665.626
11553,11553,735.498
